bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower,variant,real_frac
1-7,7,0.188,22.972,20.231,0.6629,0.6075,0.437,RF,2018,2,A_removal,0.8571428571428571
8-30,23,-1.199,11.612,10.601,0.2288,1.2021,0.247,RF,2018,2,A_removal,0.9130434782608695
31-90,60,0.124,20.682,13.976,0.4019,0.554,0.524,RF,2018,2,A_removal,0.5333333333333333
91-180,90,-2.011,15.56,13.609,0.2738,1.7278,0.316,RF,2018,2,A_removal,0.4777777777777778
181-270,90,-0.978,6.773,4.506,0.087,0.9261,0.129,RF,2018,2,A_removal,0.0
271-365,95,-0.78,13.991,11.684,0.2585,1.1434,0.206,RF,2018,2,A_removal,0.0
1-7,7,-0.081,26.517,22.822,0.7478,0.6853,0.122,XGB,2018,2,A_removal,0.8571428571428571
8-30,23,-0.115,8.267,7.414,0.16,0.8407,0.434,XGB,2018,2,A_removal,0.9130434782608695
31-90,60,-0.065,22.805,14.239,0.4095,0.5644,0.507,XGB,2018,2,A_removal,0.5333333333333333
91-180,90,-0.625,11.43,9.145,0.184,1.1611,0.324,XGB,2018,2,A_removal,0.4777777777777778
181-270,90,-2.671,9.228,7.647,0.1476,1.5714,-0.207,XGB,2018,2,A_removal,0.0
271-365,95,-0.32,12.048,8.268,0.183,0.8091,0.18,XGB,2018,2,A_removal,0.0
1-7,7,0.071,24.578,21.847,0.7158,0.656,0.283,LightGBM,2018,2,A_removal,0.8571428571428571
8-30,23,-0.217,8.638,7.71,0.1664,0.8744,0.432,LightGBM,2018,2,A_removal,0.9130434782608695
31-90,60,0.009,22.0,13.518,0.3887,0.5358,0.511,LightGBM,2018,2,A_removal,0.5333333333333333
91-180,90,-0.977,12.609,10.358,0.2084,1.315,0.217,LightGBM,2018,2,A_removal,0.4777777777777778
181-270,90,-1.821,8.09,6.408,0.1237,1.3169,-0.039,LightGBM,2018,2,A_removal,0.0
271-365,95,-0.221,11.586,8.411,0.1861,0.823,0.293,LightGBM,2018,2,A_removal,0.0
1-7,7,-0.193,27.852,19.862,0.6508,0.5964,-0.015,SARIMAX,2018,2,A_removal,0.8571428571428571
8-30,23,-1.463,12.289,11.364,0.2453,1.2887,-0.514,SARIMAX,2018,2,A_removal,0.9130434782608695
31-90,60,-0.03,22.423,14.983,0.4309,0.5939,0.219,SARIMAX,2018,2,A_removal,0.5333333333333333
91-180,90,-6.059,23.823,21.846,0.4395,2.7735,-0.183,SARIMAX,2018,2,A_removal,0.4777777777777778
181-270,90,-17.603,20.773,20.228,0.3905,4.1569,0.211,SARIMAX,2018,2,A_removal,0.0
271-365,95,-0.393,12.375,9.145,0.2024,0.8949,-0.069,SARIMAX,2018,2,A_removal,0.0
1-7,7,0.026,25.164,21.191,0.6943,0.6363,0.221,Ensemble_unweighted,2018,2,A_removal,0.8571428571428571
8-30,23,-0.628,9.992,9.216,0.1989,1.0451,0.404,Ensemble_unweighted,2018,2,A_removal,0.9130434782608695
31-90,60,0.031,21.749,13.896,0.3996,0.5508,0.536,Ensemble_unweighted,2018,2,A_removal,0.5333333333333333
91-180,90,-1.976,15.469,13.392,0.2695,1.7002,0.249,Ensemble_unweighted,2018,2,A_removal,0.4777777777777778
181-270,90,-3.631,10.364,9.034,0.1744,1.8566,-0.002,Ensemble_unweighted,2018,2,A_removal,0.0
271-365,95,-0.326,12.077,9.285,0.2055,0.9086,0.22,Ensemble_unweighted,2018,2,A_removal,0.0
1-7,7,0.026,25.168,21.226,0.6955,0.6373,0.22,Ensemble_MASEweighted,2018,2,A_removal,0.8571428571428571
8-30,23,-0.611,9.94,9.164,0.1978,1.0392,0.406,Ensemble_MASEweighted,2018,2,A_removal,0.9130434782608695
31-90,60,0.03,21.76,13.883,0.3992,0.5503,0.536,Ensemble_MASEweighted,2018,2,A_removal,0.5333333333333333
91-180,90,-1.928,15.343,13.258,0.2668,1.6832,0.251,Ensemble_MASEweighted,2018,2,A_removal,0.4777777777777778
181-270,90,-3.557,10.281,8.943,0.1727,1.8379,-0.008,Ensemble_MASEweighted,2018,2,A_removal,0.0
271-365,95,-0.324,12.068,9.26,0.2049,0.9061,0.221,Ensemble_MASEweighted,2018,2,A_removal,0.0
1-7,7,0.064,24.672,18.663,0.6115,0.5604,0.335,RF,2018,2,B_resample,0.8571428571428571
8-30,23,-1.371,12.056,11.136,0.2404,1.2628,0.074,RF,2018,2,B_resample,0.9130434782608695
31-90,60,0.118,20.752,13.683,0.3935,0.5424,0.507,RF,2018,2,B_resample,0.5333333333333333
91-180,90,-0.722,11.767,9.747,0.1961,1.2374,0.27,RF,2018,2,B_resample,0.4777777777777778
181-270,90,-0.455,5.809,4.277,0.0826,0.879,0.046,RF,2018,2,B_resample,0.0
271-365,95,0.127,9.796,5.241,0.116,0.5128,0.385,RF,2018,2,B_resample,0.0
1-7,7,-0.18,27.7,21.518,0.705,0.6461,0.016,XGB,2018,2,B_resample,0.8571428571428571
8-30,23,-0.121,8.289,7.505,0.162,0.8511,0.46,XGB,2018,2,B_resample,0.9130434782608695
31-90,60,-0.079,22.952,14.168,0.4074,0.5616,0.54,XGB,2018,2,B_resample,0.5333333333333333
91-180,90,-0.472,10.878,8.611,0.1733,1.0932,0.274,XGB,2018,2,B_resample,0.4777777777777778
181-270,90,-2.446,8.94,7.866,0.1519,1.6164,-0.121,XGB,2018,2,B_resample,0.0
271-365,95,-0.026,10.62,5.265,0.1165,0.5152,0.164,XGB,2018,2,B_resample,0.0
1-7,7,-0.19,27.822,20.04,0.6566,0.6017,-0.065,LightGBM,2018,2,B_resample,0.8571428571428571
