bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower,variant,real_frac
1-7,7,-0.135,1.974,1.678,1.0477,0.1535,-0.106,RF,2021,4,A_removal,0.42857142857142855
8-30,23,-0.214,10.204,8.288,1.1117,0.6118,0.332,RF,2021,4,A_removal,0.8260869565217391
31-90,60,-0.071,13.462,11.121,1.2106,0.6706,0.222,RF,2021,4,A_removal,0.8333333333333334
91-180,90,0.16,65.262,39.628,0.6661,0.5752,0.414,RF,2021,4,A_removal,1.0
181-270,90,0.246,71.798,54.92,0.8823,0.8125,0.519,RF,2021,4,A_removal,0.9777777777777777
271-365,95,0.135,30.537,23.988,1.1019,0.9396,0.653,RF,2021,4,A_removal,0.9578947368421052
1-7,7,-0.147,1.984,1.725,1.0773,0.1578,-0.104,XGB,2021,4,A_removal,0.42857142857142855
8-30,23,-0.018,9.343,7.416,0.9947,0.5474,0.203,XGB,2021,4,A_removal,0.8260869565217391
31-90,60,-0.039,13.262,10.371,1.129,0.6253,0.055,XGB,2021,4,A_removal,0.8333333333333334
91-180,90,0.139,66.076,39.31,0.6607,0.5706,0.402,XGB,2021,4,A_removal,1.0
181-270,90,0.387,64.766,49.884,0.8014,0.738,0.709,XGB,2021,4,A_removal,0.9777777777777777
271-365,95,0.1,31.15,24.151,1.1094,0.946,0.604,XGB,2021,4,A_removal,0.9578947368421052
1-7,7,-0.041,1.891,1.604,1.0019,0.1468,-0.157,LightGBM,2021,4,A_removal,0.42857142857142855
8-30,23,-0.013,9.32,7.273,0.9755,0.5368,0.106,LightGBM,2021,4,A_removal,0.8260869565217391
31-90,60,0.005,12.976,9.906,1.0783,0.5973,0.141,LightGBM,2021,4,A_removal,0.8333333333333334
91-180,90,0.13,66.436,39.666,0.6667,0.5758,0.391,LightGBM,2021,4,A_removal,1.0
181-270,90,0.367,65.811,49.349,0.7928,0.73,0.626,LightGBM,2021,4,A_removal,0.9777777777777777
271-365,95,-0.052,33.69,25.19,1.1571,0.9866,0.597,LightGBM,2021,4,A_removal,0.9578947368421052
1-7,7,-0.013,1.864,1.562,0.9755,0.1429,-0.062,SARIMAX,2021,4,A_removal,0.42857142857142855
8-30,23,-0.047,9.475,7.481,1.0034,0.5522,-0.154,SARIMAX,2021,4,A_removal,0.8260869565217391
31-90,60,-0.188,14.183,8.903,0.9692,0.5368,-0.284,SARIMAX,2021,4,A_removal,0.8333333333333334
91-180,90,0.162,65.182,44.354,0.7455,0.6438,0.415,SARIMAX,2021,4,A_removal,1.0
181-270,90,0.278,70.268,52.205,0.8387,0.7723,0.539,SARIMAX,2021,4,A_removal,0.9777777777777777
271-365,95,0.356,26.351,19.394,0.8909,0.7596,0.714,SARIMAX,2021,4,A_removal,0.9578947368421052
1-7,7,-0.059,1.906,1.642,1.0256,0.1502,-0.135,Ensemble_unweighted,2021,4,A_removal,0.42857142857142855
8-30,23,0.043,9.061,7.395,0.992,0.5459,0.294,Ensemble_unweighted,2021,4,A_removal,0.8260869565217391
31-90,60,0.023,12.859,9.375,1.0205,0.5653,0.171,Ensemble_unweighted,2021,4,A_removal,0.8333333333333334
91-180,90,0.159,65.328,40.494,0.6806,0.5878,0.408,Ensemble_unweighted,2021,4,A_removal,1.0
181-270,90,0.329,67.741,51.39,0.8256,0.7602,0.612,Ensemble_unweighted,2021,4,A_removal,0.9777777777777777
271-365,95,0.237,28.689,22.64,1.04,0.8868,0.691,Ensemble_unweighted,2021,4,A_removal,0.9578947368421052
1-7,7,-0.06,1.907,1.643,1.0262,0.1503,-0.136,Ensemble_MASEweighted,2021,4,A_removal,0.42857142857142855
8-30,23,0.042,9.063,7.394,0.9918,0.5458,0.292,Ensemble_MASEweighted,2021,4,A_removal,0.8260869565217391
31-90,60,0.022,12.864,9.402,1.0234,0.5669,0.168,Ensemble_MASEweighted,2021,4,A_removal,0.8333333333333334
91-180,90,0.158,65.35,40.455,0.68,0.5873,0.408,Ensemble_MASEweighted,2021,4,A_removal,1.0
181-270,90,0.331,67.656,51.34,0.8248,0.7595,0.614,Ensemble_MASEweighted,2021,4,A_removal,0.9777777777777777
271-365,95,0.233,28.766,22.693,1.0424,0.8888,0.69,Ensemble_MASEweighted,2021,4,A_removal,0.9578947368421052
1-7,7,-0.419,2.207,1.711,1.0685,0.1565,0.108,RF,2021,4,B_resample,0.42857142857142855
8-30,23,0.037,9.088,7.455,1.0,0.5503,0.298,RF,2021,4,B_resample,0.8260869565217391
31-90,60,-0.011,13.083,8.76,0.9536,0.5282,0.189,RF,2021,4,B_resample,0.8333333333333334
91-180,90,0.152,65.601,39.219,0.6592,0.5693,0.426,RF,2021,4,B_resample,1.0
181-270,90,0.214,73.344,54.985,0.8834,0.8134,0.486,RF,2021,4,B_resample,0.9777777777777777
271-365,95,0.332,26.849,19.682,0.9041,0.7709,0.662,RF,2021,4,B_resample,0.9578947368421052
