,Observed,Observed,Observed,Observed,Observed,Observed,Observed,Observed,Observed,Observed,Observed,Observed,Observed,Observed,Observed,Observed,Observed,Observed,GapFilled,GapFilled,GapFilled,GapFilled,GapFilled,GapFilled,GapFilled,GapFilled,GapFilled,GapFilled,GapFilled,GapFilled,GapFilled,GapFilled,GapFilled,GapFilled,GapFilled,GapFilled
,Model1,Model1,Model1,Model1,Model1,Model1,VariantA_removal,VariantA_removal,VariantA_removal,VariantA_removal,VariantA_removal,VariantA_removal,VariantB_resample,VariantB_resample,VariantB_resample,VariantB_resample,VariantB_resample,VariantB_resample,Model1,Model1,Model1,Model1,Model1,Model1,VariantA_removal,VariantA_removal,VariantA_removal,VariantA_removal,VariantA_removal,VariantA_removal,VariantB_resample,VariantB_resample,VariantB_resample,VariantB_resample,VariantB_resample,VariantB_resample
,R2,RMSE,MAE,MASE,WAPE,Correlation,R2,RMSE,MAE,MASE,WAPE,Correlation,R2,RMSE,MAE,MASE,WAPE,Correlation,R2,RMSE,MAE,MASE,WAPE,Correlation,R2,RMSE,MAE,MASE,WAPE,Correlation,R2,RMSE,MAE,MASE,WAPE,Correlation
model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RF,-0.241,52.232,34.836,0.968,1.05,0.375,-0.22,53.566,36.139,1.001,1.082,0.343,-0.139,53.44,35.364,0.943,1.013,0.353,-0.593,25.852,18.25,0.8,0.756,0.529,-2.116,28.636,20.639,0.912,0.912,0.418,-0.767,28.362,19.316,0.798,0.762,0.402
XGB,-0.184,51.571,33.807,0.922,0.991,0.368,-0.118,52.237,34.1,0.926,0.99,0.339,-0.05,52.315,33.346,0.879,0.934,0.343,-0.502,25.717,17.705,0.761,0.718,0.483,-1.341,27.708,18.972,0.822,0.805,0.379,-0.506,28.175,18.578,0.763,0.714,0.378
LightGBM,-0.206,52.083,34.323,0.941,1.012,0.368,-0.155,53.068,34.751,0.942,1.007,0.351,-0.105,53.146,34.301,0.902,0.961,0.354,-0.48,26.106,18.202,0.774,0.728,0.496,-1.061,28.264,19.492,0.826,0.798,0.401,-0.577,28.967,19.333,0.78,0.729,0.376
SARIMAX,-0.36,53.791,36.059,0.976,1.105,0.343,-0.191,52.692,35.433,0.949,1.05,0.301,-0.295,52.917,34.983,0.931,1.057,0.304,-1.004,29.213,21.664,0.943,0.919,0.463,-1.211,30.431,22.455,0.989,0.945,0.302,-0.968,29.783,21.448,0.912,0.9,0.305
Ensemble_unweighted,-0.165,51.574,33.746,0.918,0.998,0.375,-0.108,52.17,34.293,0.926,0.999,0.364,-0.089,52.366,33.858,0.892,0.967,0.341,-0.189,25.391,17.664,0.751,0.704,0.523,-1.027,27.599,19.298,0.834,0.812,0.427,-0.459,27.876,18.689,0.762,0.729,0.398
Ensemble_MASEweighted,-0.165,51.567,33.743,0.918,0.998,0.375,-0.108,52.176,34.293,0.927,0.999,0.364,-0.088,52.369,33.851,0.892,0.966,0.341,-0.195,25.383,17.651,0.75,0.704,0.522,-1.032,27.593,19.281,0.833,0.812,0.426,-0.46,27.881,18.677,0.761,0.728,0.398
