,Model1,Model1,Model1,Model1,Model1,Model1,VariantA_removal,VariantA_removal,VariantA_removal,VariantA_removal,VariantA_removal,VariantA_removal,VariantB_resample,VariantB_resample,VariantB_resample,VariantB_resample,VariantB_resample,VariantB_resample
,R2,RMSE,MAE,MASE,WAPE,Correlation,R2,RMSE,MAE,MASE,WAPE,Correlation,R2,RMSE,MAE,MASE,WAPE,Correlation
model,,,,,,,,,,,,,,,,,,
RF,-0.593,25.852,18.25,0.8,0.756,0.529,-2.116,28.636,20.639,0.912,0.912,0.418,-0.767,28.362,19.316,0.798,0.762,0.402
XGB,-0.502,25.717,17.705,0.761,0.718,0.483,-1.341,27.708,18.972,0.822,0.805,0.379,-0.506,28.175,18.578,0.763,0.714,0.378
LightGBM,-0.48,26.106,18.202,0.774,0.728,0.496,-1.061,28.264,19.492,0.826,0.798,0.401,-0.577,28.967,19.333,0.78,0.729,0.376
SARIMAX,-1.004,29.213,21.664,0.943,0.919,0.463,-1.211,30.431,22.455,0.989,0.945,0.302,-0.968,29.783,21.448,0.912,0.9,0.305
Ensemble_unweighted,-0.189,25.391,17.664,0.751,0.704,0.523,-1.027,27.599,19.298,0.834,0.812,0.427,-0.459,27.876,18.689,0.762,0.729,0.398
Ensemble_MASEweighted,-0.195,25.383,17.651,0.75,0.704,0.522,-1.032,27.593,19.281,0.833,0.812,0.426,-0.46,27.881,18.677,0.761,0.728,0.398
TFT,-2.817,37.337,26.282,1.188,1.105,0.249,-2.062,34.945,24.845,1.051,1.042,0.201,-2.517,36.072,25.541,1.07,1.091,0.156
TabPFN,-0.689,35.194,23.855,0.949,0.825,0.212,-0.771,35.423,24.037,0.961,0.848,0.252,-0.771,35.785,24.269,0.952,0.847,0.24
DLinear,-7.894,47.18,37.223,1.852,1.799,0.149,-3.972,37.15,28.169,1.305,1.313,0.216,-3.903,38.347,29.831,1.447,1.352,0.24
LSTM,-3.769,41.84,30.502,1.331,1.321,0.168,-4.829,43.058,31.683,1.393,1.405,0.138,-2.187,39.6,28.197,1.156,1.133,0.149
TabICLv2,-0.886,36.562,25.265,1.01,0.885,0.191,-1.028,36.856,25.341,0.999,0.902,0.168,-0.88,36.828,25.316,0.993,0.891,0.16
