model,ssp,gcm,realization,tower,year,multiplier,aoa_flagged_pct
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2025,1.0,9.04109589041096
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2025,2.0,9.315068493150685
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2025,3.0,9.863013698630137
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2026,1.0,12.32876712328767
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2026,2.0,12.32876712328767
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2026,3.0,12.32876712328767
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2027,1.0,7.9452054794520555
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2027,2.0,8.21917808219178
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2027,3.0,8.21917808219178
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2028,1.0,7.671232876712329
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2028,2.0,7.671232876712329
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2028,3.0,7.671232876712329
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2029,1.0,7.9452054794520555
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2029,2.0,7.9452054794520555
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2029,3.0,7.9452054794520555
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2030,1.0,10.41095890410959
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2030,2.0,10.684931506849315
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2030,3.0,11.506849315068493
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2031,1.0,8.767123287671232
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2031,2.0,8.767123287671232
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2031,3.0,9.58904109589041
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2032,1.0,11.506849315068493
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2032,2.0,11.506849315068493
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2032,3.0,11.506849315068493
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2033,1.0,9.863013698630137
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2033,2.0,10.136986301369863
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2033,3.0,10.95890410958904
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2034,1.0,7.397260273972603
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2034,2.0,7.671232876712329
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2034,3.0,7.9452054794520555
PrimaryHybrid,ssp245,ACCESS-ESM1-5,1,2,2035,1.0,12.054794520547945
