ssp,gcm,realization,tower,year,multiplier,model,annual_mean,trend_annual_mean
ssp245,ACCESS-ESM1-5,1,2,2025,1.0,PrimaryHybrid,19.89740355461974,19.726877269768384
ssp245,ACCESS-ESM1-5,1,2,2025,2.0,PrimaryHybrid,23.934408194922405,24.481577636096695
ssp245,ACCESS-ESM1-5,1,2,2025,3.0,PrimaryHybrid,27.438952208413237,29.236278002425
ssp245,ACCESS-ESM1-5,1,2,2026,1.0,PrimaryHybrid,20.017710345365234,19.827371941524344
ssp245,ACCESS-ESM1-5,1,2,2026,2.0,PrimaryHybrid,24.044819397369388,24.58207230785265
ssp245,ACCESS-ESM1-5,1,2,2026,3.0,PrimaryHybrid,27.552673461568613,29.336772674180963
ssp245,ACCESS-ESM1-5,1,2,2027,1.0,PrimaryHybrid,19.00205898105503,19.702225178768053
ssp245,ACCESS-ESM1-5,1,2,2027,2.0,PrimaryHybrid,23.00205984415003,24.45692554509636
ssp245,ACCESS-ESM1-5,1,2,2027,3.0,PrimaryHybrid,26.49257505189486,29.211625911424665
ssp245,ACCESS-ESM1-5,1,2,2028,1.0,PrimaryHybrid,19.597817100770232,19.760700719161978
ssp245,ACCESS-ESM1-5,1,2,2028,2.0,PrimaryHybrid,23.641557563360475,24.515401085490286
ssp245,ACCESS-ESM1-5,1,2,2028,3.0,PrimaryHybrid,27.127868411730574,29.27010145181859
ssp245,ACCESS-ESM1-5,1,2,2029,1.0,PrimaryHybrid,19.618049965022305,19.737479620251378
ssp245,ACCESS-ESM1-5,1,2,2029,2.0,PrimaryHybrid,23.649800834019956,24.49217998657969
ssp245,ACCESS-ESM1-5,1,2,2029,3.0,PrimaryHybrid,27.172174195584386,29.246880352907993
ssp245,ACCESS-ESM1-5,1,2,2030,1.0,PrimaryHybrid,20.102846509379038,19.827697166999286
ssp245,ACCESS-ESM1-5,1,2,2030,2.0,PrimaryHybrid,24.13585047497755,24.582397533327587
ssp245,ACCESS-ESM1-5,1,2,2030,3.0,PrimaryHybrid,27.625915858795604,29.3370978996559
ssp245,ACCESS-ESM1-5,1,2,2031,1.0,PrimaryHybrid,19.468174227414142,19.838039337102327
ssp245,ACCESS-ESM1-5,1,2,2031,2.0,PrimaryHybrid,23.466327726940904,24.59273970343063
ssp245,ACCESS-ESM1-5,1,2,2031,3.0,PrimaryHybrid,26.951277254292336,29.347440069758942
ssp245,ACCESS-ESM1-5,1,2,2032,1.0,PrimaryHybrid,19.41064927941681,19.748667376589257
ssp245,ACCESS-ESM1-5,1,2,2032,2.0,PrimaryHybrid,23.478914139763976,24.50336774291757
ssp245,ACCESS-ESM1-5,1,2,2032,3.0,PrimaryHybrid,26.943951432143205,29.25806810924587
ssp245,ACCESS-ESM1-5,1,2,2033,1.0,PrimaryHybrid,19.74801830580049,19.80291498580898
ssp245,ACCESS-ESM1-5,1,2,2033,2.0,PrimaryHybrid,23.787118211577244,24.557615352137283
ssp245,ACCESS-ESM1-5,1,2,2033,3.0,PrimaryHybrid,27.27484538183279,29.31231571846559
ssp245,ACCESS-ESM1-5,1,2,2034,1.0,PrimaryHybrid,19.637211967910964,19.86080512034801
ssp245,ACCESS-ESM1-5,1,2,2034,2.0,PrimaryHybrid,23.61603660859097,24.615505486676323
ssp245,ACCESS-ESM1-5,1,2,2034,3.0,PrimaryHybrid,27.119418011108053,29.370205853004627
ssp245,ACCESS-ESM1-5,1,2,2035,1.0,PrimaryHybrid,19.87244177148993,19.85995953411317
ssp245,ACCESS-ESM1-5,1,2,2035,2.0,PrimaryHybrid,23.8984396921284,24.614659900441477
ssp245,ACCESS-ESM1-5,1,2,2035,3.0,PrimaryHybrid,27.41160888217387,29.369360266769785
ssp245,ACCESS-ESM1-5,1,2,2036,1.0,PrimaryHybrid,19.55824498111513,19.887408564197973
ssp245,ACCESS-ESM1-5,1,2,2036,2.0,PrimaryHybrid,23.6097809859744,24.642108930526284
ssp245,ACCESS-ESM1-5,1,2,2036,3.0,PrimaryHybrid,27.099070734381147,29.396809296854588
ssp245,ACCESS-ESM1-5,1,2,2037,1.0,PrimaryHybrid,19.43216612636977,19.845584568120895
ssp245,ACCESS-ESM1-5,1,2,2037,2.0,PrimaryHybrid,23.42740694771544,24.600284934449206
ssp245,ACCESS-ESM1-5,1,2,2037,3.0,PrimaryHybrid,26.90849486662037,29.35498530077751
ssp245,ACCESS-ESM1-5,1,2,2038,1.0,PrimaryHybrid,19.724267332583096,19.891506405182195
ssp245,ACCESS-ESM1-5,1,2,2038,2.0,PrimaryHybrid,23.738415775962938,24.646206771510503
ssp245,ACCESS-ESM1-5,1,2,2038,3.0,PrimaryHybrid,27.221916583772515,29.400907137838807
ssp245,ACCESS-ESM1-5,1,2,2039,1.0,PrimaryHybrid,19.72382814598162,19.853845295184332
ssp245,ACCESS-ESM1-5,1,2,2039,2.0,PrimaryHybrid,23.74873234497334,24.608545661512636
ssp245,ACCESS-ESM1-5,1,2,2039,3.0,PrimaryHybrid,27.229888285797085,29.36324602784094
ssp245,ACCESS-ESM1-5,1,2,2040,1.0,PrimaryHybrid,19.498628129661995,19.866333953421965
ssp245,ACCESS-ESM1-5,1,2,2040,2.0,PrimaryHybrid,23.49418509045883,24.62103431975027
ssp245,ACCESS-ESM1-5,1,2,2040,3.0,PrimaryHybrid,27.018651484090984,29.375734686078577
ssp245,ACCESS-ESM1-5,1,2,2041,1.0,PrimaryHybrid,19.498537300979372,19.94042031661293
ssp245,ACCESS-ESM1-5,1,2,2041,2.0,PrimaryHybrid,23.495518978657262,24.695120682941234
ssp245,ACCESS-ESM1-5,1,2,2041,3.0,PrimaryHybrid,26.995982198507857,29.44982104926954
ssp245,ACCESS-ESM1-5,1,2,2042,1.0,PrimaryHybrid,19.551919534571994,19.823794461300025
ssp245,ACCESS-ESM1-5,1,2,2042,2.0,PrimaryHybrid,23.593990205232643,24.57849482762833
ssp245,ACCESS-ESM1-5,1,2,2042,3.0,PrimaryHybrid,27.08042570035828,29.33319519395664
ssp245,ACCESS-ESM1-5,1,2,2043,1.0,PrimaryHybrid,20.072175717693494,19.89280730708195
ssp245,ACCESS-ESM1-5,1,2,2043,2.0,PrimaryHybrid,24.142201346921134,24.64750767341026
ssp245,ACCESS-ESM1-5,1,2,2043,3.0,PrimaryHybrid,27.632777857569973,29.402208039738568
ssp245,ACCESS-ESM1-5,1,2,2044,1.0,PrimaryHybrid,19.78622184129203,19.99460288073766
ssp245,ACCESS-ESM1-5,1,2,2044,2.0,PrimaryHybrid,23.812583190008155,24.74930324706597
ssp245,ACCESS-ESM1-5,1,2,2044,3.0,PrimaryHybrid,27.323669926292418,29.504003613394275
ssp245,ACCESS-ESM1-5,1,2,2045,1.0,PrimaryHybrid,19.680888553943706,19.922663005681294
ssp245,ACCESS-ESM1-5,1,2,2045,2.0,PrimaryHybrid,23.718675110786627,24.677363372009598
ssp245,ACCESS-ESM1-5,1,2,2045,3.0,PrimaryHybrid,27.2091117226477,29.432063738337906
ssp245,ACCESS-ESM1-5,1,2,2046,1.0,PrimaryHybrid,19.535143932493995,19.872057921780883
ssp245,ACCESS-ESM1-5,1,2,2046,2.0,PrimaryHybrid,23.56537262615833,24.626758288109187
ssp245,ACCESS-ESM1-5,1,2,2046,3.0,PrimaryHybrid,27.06446249672323,29.381458654437495
ssp245,ACCESS-ESM1-5,1,2,2047,1.0,PrimaryHybrid,19.620363543091756,19.929102470085073
ssp245,ACCESS-ESM1-5,1,2,2047,2.0,PrimaryHybrid,23.609808001833194,24.683802836413378
ssp245,ACCESS-ESM1-5,1,2,2047,3.0,PrimaryHybrid,27.13545080917803,29.438503202741693
ssp245,ACCESS-ESM1-5,1,2,2048,1.0,PrimaryHybrid,19.580872449518473,19.947510231966586
ssp245,ACCESS-ESM1-5,1,2,2048,2.0,PrimaryHybrid,23.618586130188966,24.702210598294894
ssp245,ACCESS-ESM1-5,1,2,2048,3.0,PrimaryHybrid,27.054558779915958,29.456910964623205
ssp245,ACCESS-ESM1-5,1,2,2049,1.0,PrimaryHybrid,19.9366931086297,20.09178025264925
ssp245,ACCESS-ESM1-5,1,2,2049,2.0,PrimaryHybrid,23.96598551085606,24.846480618977555
ssp245,ACCESS-ESM1-5,1,2,2049,3.0,PrimaryHybrid,27.43152624953691,29.601180985305866
ssp245,ACCESS-ESM1-5,1,2,2050,1.0,PrimaryHybrid,19.546879328740513,20.043646882358374
ssp245,ACCESS-ESM1-5,1,2,2050,2.0,PrimaryHybrid,23.543581041405645,24.79834724868668
ssp245,ACCESS-ESM1-5,1,2,2050,3.0,PrimaryHybrid,27.03854598477089,29.553047615014986
ssp245,ACCESS-ESM1-5,1,4,2025,1.0,PrimaryHybrid,26.055857116292703,30.305780359705135
ssp245,ACCESS-ESM1-5,1,4,2025,2.0,PrimaryHybrid,45.6953086267576,51.46900842834991
ssp245,ACCESS-ESM1-5,1,4,2025,3.0,PrimaryHybrid,66.25215507845569,72.63223649699466
ssp245,ACCESS-ESM1-5,1,4,2026,1.0,PrimaryHybrid,26.192163639004566,30.406275031461092
ssp245,ACCESS-ESM1-5,1,4,2026,2.0,PrimaryHybrid,45.85774500338079,51.56950310010588
ssp245,ACCESS-ESM1-5,1,4,2026,3.0,PrimaryHybrid,66.44755622621662,72.73273116875063
ssp245,ACCESS-ESM1-5,1,4,2027,1.0,PrimaryHybrid,25.316642764469695,30.281128268704805
ssp245,ACCESS-ESM1-5,1,4,2027,2.0,PrimaryHybrid,44.94334425024839,51.444356337349575
ssp245,ACCESS-ESM1-5,1,4,2027,3.0,PrimaryHybrid,65.49809784424303,72.60758440599434
ssp245,ACCESS-ESM1-5,1,4,2028,1.0,PrimaryHybrid,25.83129279801117,30.339603809098726
ssp245,ACCESS-ESM1-5,1,4,2028,2.0,PrimaryHybrid,45.474990165913965,51.5028318777435
ssp245,ACCESS-ESM1-5,1,4,2028,3.0,PrimaryHybrid,66.03653628053145,72.66605994638827
ssp245,ACCESS-ESM1-5,1,4,2029,1.0,PrimaryHybrid,25.839535835145295,30.316382710188122
ssp245,ACCESS-ESM1-5,1,4,2029,2.0,PrimaryHybrid,45.4549844404561,51.4796107788329
ssp245,ACCESS-ESM1-5,1,4,2029,3.0,PrimaryHybrid,66.00724758854545,72.64283884747766
ssp245,ACCESS-ESM1-5,1,4,2030,1.0,PrimaryHybrid,26.266522427871358,30.40660025693603
ssp245,ACCESS-ESM1-5,1,4,2030,2.0,PrimaryHybrid,45.95879222742387,51.56982832558081
ssp245,ACCESS-ESM1-5,1,4,2030,3.0,PrimaryHybrid,66.54215000554484,72.73305639422557
ssp245,ACCESS-ESM1-5,1,4,2031,1.0,PrimaryHybrid,25.69460654361365,30.416942427039075
ssp245,ACCESS-ESM1-5,1,4,2031,2.0,PrimaryHybrid,45.31840442152244,51.580170495683845
ssp245,ACCESS-ESM1-5,1,4,2031,3.0,PrimaryHybrid,65.87344813610542,72.74339856432861
ssp245,ACCESS-ESM1-5,1,4,2032,1.0,PrimaryHybrid,25.69358520052831,30.327570466526
ssp245,ACCESS-ESM1-5,1,4,2032,2.0,PrimaryHybrid,45.348883829254135,51.49079853517078
ssp245,ACCESS-ESM1-5,1,4,2032,3.0,PrimaryHybrid,65.9207849431694,72.65402660381554
ssp245,ACCESS-ESM1-5,1,4,2033,1.0,PrimaryHybrid,25.970555539194912,30.381818075745723
ssp245,ACCESS-ESM1-5,1,4,2033,2.0,PrimaryHybrid,45.60905687164329,51.5450461443905
ssp245,ACCESS-ESM1-5,1,4,2033,3.0,PrimaryHybrid,66.17880023922538,72.70827421303528
ssp245,ACCESS-ESM1-5,1,4,2034,1.0,PrimaryHybrid,25.830494751071058,30.43970821028476
ssp245,ACCESS-ESM1-5,1,4,2034,2.0,PrimaryHybrid,45.462974074317195,51.60293627892953
ssp245,ACCESS-ESM1-5,1,4,2034,3.0,PrimaryHybrid,66.02516681949184,72.7661643475743
ssp245,ACCESS-ESM1-5,1,4,2035,1.0,PrimaryHybrid,26.03230389304038,30.438862624049918
ssp245,ACCESS-ESM1-5,1,4,2035,2.0,PrimaryHybrid,45.69113407029831,51.602090692694695
ssp245,ACCESS-ESM1-5,1,4,2035,3.0,PrimaryHybrid,66.26127285401677,72.76531876133947
ssp245,ACCESS-ESM1-5,1,4,2036,1.0,PrimaryHybrid,25.853763695598545,30.466311654134717
ssp245,ACCESS-ESM1-5,1,4,2036,2.0,PrimaryHybrid,45.49113274193662,51.6295397227795
ssp245,ACCESS-ESM1-5,1,4,2036,3.0,PrimaryHybrid,66.05654760707132,72.79276779142425
ssp245,ACCESS-ESM1-5,1,4,2037,1.0,PrimaryHybrid,25.62723664726464,30.424487658057647
ssp245,ACCESS-ESM1-5,1,4,2037,2.0,PrimaryHybrid,45.2583782438247,51.587715726702406
