ssp,gcm,realization,tower,year,multiplier,model,annual_mean
ssp245,ACCESS-ESM1-5,1,2,2025,1.0,RF,20.396058787601905
ssp245,ACCESS-ESM1-5,1,2,2025,1.0,XGB,19.27121095004147
ssp245,ACCESS-ESM1-5,1,2,2025,1.0,LightGBM,19.33194222951527
ssp245,ACCESS-ESM1-5,1,2,2025,1.0,SARIMAX,16.69687598230113
ssp245,ACCESS-ESM1-5,1,2,2025,1.0,Ensemble_unweighted,18.924021987364945
ssp245,ACCESS-ESM1-5,1,2,2025,1.0,Ensemble_MASEweighted,18.940962483913147
ssp245,ACCESS-ESM1-5,1,2,2025,2.0,RF,21.49572475169273
ssp245,ACCESS-ESM1-5,1,2,2025,2.0,XGB,21.35710298459824
ssp245,ACCESS-ESM1-5,1,2,2025,2.0,LightGBM,21.62860711589179
ssp245,ACCESS-ESM1-5,1,2,2025,2.0,SARIMAX,20.72226513372373
ssp245,ACCESS-ESM1-5,1,2,2025,2.0,Ensemble_unweighted,21.30092499647662
ssp245,ACCESS-ESM1-5,1,2,2025,2.0,Ensemble_MASEweighted,21.307393952863173
ssp245,ACCESS-ESM1-5,1,2,2025,3.0,RF,21.990847295322308
ssp245,ACCESS-ESM1-5,1,2,2025,3.0,XGB,21.865748233011324
ssp245,ACCESS-ESM1-5,1,2,2025,3.0,LightGBM,22.405103059101467
ssp245,ACCESS-ESM1-5,1,2,2025,3.0,SARIMAX,24.74765428514633
ssp245,ACCESS-ESM1-5,1,2,2025,3.0,Ensemble_unweighted,22.752338218145358
ssp245,ACCESS-ESM1-5,1,2,2025,3.0,Ensemble_MASEweighted,22.72923261489012
ssp245,ACCESS-ESM1-5,1,2,2026,1.0,RF,20.35944190172959
ssp245,ACCESS-ESM1-5,1,2,2026,1.0,XGB,19.24884508211319
ssp245,ACCESS-ESM1-5,1,2,2026,1.0,LightGBM,19.352384326284227
ssp245,ACCESS-ESM1-5,1,2,2026,1.0,SARIMAX,16.69687598230113
ssp245,ACCESS-ESM1-5,1,2,2026,1.0,Ensemble_unweighted,18.914386823107034
ssp245,ACCESS-ESM1-5,1,2,2026,1.0,Ensemble_MASEweighted,18.931461316834955
ssp245,ACCESS-ESM1-5,1,2,2026,2.0,RF,21.442648557411214
ssp245,ACCESS-ESM1-5,1,2,2026,2.0,XGB,21.368857341923125
ssp245,ACCESS-ESM1-5,1,2,2026,2.0,LightGBM,21.657340383190714
ssp245,ACCESS-ESM1-5,1,2,2026,2.0,SARIMAX,20.72226513372373
ssp245,ACCESS-ESM1-5,1,2,2026,2.0,Ensemble_unweighted,21.297777854062197
ssp245,ACCESS-ESM1-5,1,2,2026,2.0,Ensemble_MASEweighted,21.304813636384317
ssp245,ACCESS-ESM1-5,1,2,2026,3.0,RF,21.979694511707702
ssp245,ACCESS-ESM1-5,1,2,2026,3.0,XGB,21.85406737392896
ssp245,ACCESS-ESM1-5,1,2,2026,3.0,LightGBM,22.4175147888088
ssp245,ACCESS-ESM1-5,1,2,2026,3.0,SARIMAX,24.74765428514633
ssp245,ACCESS-ESM1-5,1,2,2026,3.0,Ensemble_unweighted,22.749732739897944
ssp245,ACCESS-ESM1-5,1,2,2026,3.0,Ensemble_MASEweighted,22.7266628621988
ssp245,ACCESS-ESM1-5,1,2,2027,1.0,RF,19.855231284113756
ssp245,ACCESS-ESM1-5,1,2,2027,1.0,XGB,18.642335324744657
ssp245,ACCESS-ESM1-5,1,2,2027,1.0,LightGBM,18.789230935772103
ssp245,ACCESS-ESM1-5,1,2,2027,1.0,SARIMAX,16.69687598230113
ssp245,ACCESS-ESM1-5,1,2,2027,1.0,Ensemble_unweighted,18.49591838173291
ssp245,ACCESS-ESM1-5,1,2,2027,1.0,Ensemble_MASEweighted,18.507291223896637
ssp245,ACCESS-ESM1-5,1,2,2027,2.0,RF,20.915280910365205
ssp245,ACCESS-ESM1-5,1,2,2027,2.0,XGB,20.765941698257237
ssp245,ACCESS-ESM1-5,1,2,2027,2.0,LightGBM,21.11923730500529
ssp245,ACCESS-ESM1-5,1,2,2027,2.0,SARIMAX,20.72226513372373
ssp245,ACCESS-ESM1-5,1,2,2027,2.0,Ensemble_unweighted,20.880681261837864
ssp245,ACCESS-ESM1-5,1,2,2027,2.0,Ensemble_MASEweighted,20.882323545047765
ssp245,ACCESS-ESM1-5,1,2,2027,3.0,RF,21.38732869805453
ssp245,ACCESS-ESM1-5,1,2,2027,3.0,XGB,21.279304180406545
ssp245,ACCESS-ESM1-5,1,2,2027,3.0,LightGBM,21.904657452790097
ssp245,ACCESS-ESM1-5,1,2,2027,3.0,SARIMAX,24.74765428514633
ssp245,ACCESS-ESM1-5,1,2,2027,3.0,Ensemble_unweighted,22.32973615409938
ssp245,ACCESS-ESM1-5,1,2,2027,3.0,Ensemble_MASEweighted,22.30202585397077
ssp245,ACCESS-ESM1-5,1,2,2028,1.0,RF,20.224171156000534
ssp245,ACCESS-ESM1-5,1,2,2028,1.0,XGB,18.9745446557868
ssp245,ACCESS-ESM1-5,1,2,2028,1.0,LightGBM,19.090839627310586
ssp245,ACCESS-ESM1-5,1,2,2028,1.0,SARIMAX,16.69687598230113
ssp245,ACCESS-ESM1-5,1,2,2028,1.0,Ensemble_unweighted,18.74660785534976
ssp245,ACCESS-ESM1-5,1,2,2028,1.0,Ensemble_MASEweighted,18.760545142510498
ssp245,ACCESS-ESM1-5,1,2,2028,2.0,RF,21.257349465838583
ssp245,ACCESS-ESM1-5,1,2,2028,2.0,XGB,21.05800491489776
ssp245,ACCESS-ESM1-5,1,2,2028,2.0,LightGBM,21.397777716399453
ssp245,ACCESS-ESM1-5,1,2,2028,2.0,SARIMAX,20.722265133723727
